id,prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
25,"What is the meaning of the Punjabi word ""Sikh""?
A. Disciple
B. Faithful
C. Devotee
D. Enlightened
Answer:",True,True
26," Which of the following shuns politics?
A. The sages of the Zhuangzi
B. The Songs of the South
C. The Duke of Zhou
D. The Confucian ""sage kings""
Answer:",True,True
27,"What does the Hebrew word mashiach mean?
A. Anointed one
B. God
C. Prophet
D. The line of David
Answer:",True,True
28,"According to Jaina traditions, what does the term ajiva mean?
A. Soul
B. Sound
C. Non-matter
D. Non-soul
Answer:",True,False
29," In the Japanese Zen tradition, what is zazen?
A. A collection of statues
B. Veneration of ancestors
C. Seated meditation
D. Funeral rituals
Answer:",True,True
30," What is a central component of tantric Buddhism?
A. Asceticism
B. Bodily pleasure
C. Music
D. Sexual union
Answer:",True,True
31," How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?
A. Loving and forgiving
B. Wrathful and merciful
C. Judging and vengeful
D. Transcendent and immanent
Answer:",False,False
32," After the Bar Kochba revolt, where were the two main centres for Jewish development?
A. Palestine and Babylonia
B. Babylonia and Europe
C. Palestine and Spain
D. Spain and France
Answer:",True,True
33," In addition to Jainism, which other tradition began as a world-renouncing movement?
A. Buddhism
B. Hinduism
C. Judaism
D. Islam
Answer:",True,True
34,"According to Hindu tradition, which age are we in currently?
A. Kali yuga
B. Maha yuga
C. Krita yuga
D. Satya yuga
Answer:",True,True
35," In the Zoroastrian tradition, the term Gathas refers to which of the following?
A. Hymns
B. Laws
C. Ethics
D. Myths
Answer:",True,True
36,"Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?
A. Pure Land
B. Tendai
C. Shingon
D. Soto Zen
Answer:",True,True
37," According to Hindu tradition, who is considered to be the ideal wife?
A. Sita
B. Rama
C. Kali
D. Durga
Answer:",True,True
38,"Who is the woman mystic who exemplified the all-consuming love of the divine?
A. Rumi
B. Rabi'a
C. Fatimah
D. Khadija
Answer:",True,True
39," Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?
A. Andal
B. Devi
C. Ganga
D. Kali
Answer:",True,True
40," Who is associated with the stigmata and preaching to birds?
A. Paul of Tarsus
B. Clare of Assisi
C. Francis of Assisi
D. John of the Cross
Answer:",True,True
41," In his final work, Laws, Plato shifted from cosmology to which of the following issues?
A. Epistemology
B. Morality
C. Religion
D. Aesthetics
Answer:",True,False
42," Which Christian denomination promotes a stripped-down Christianity?
A. Greek Orthodox
B. Roman Catholic
C. Puritans
D. Quakers
Answer:",True,False
43," Rome claimed that their bishop (pope) was the director successor of which leader?
A. Peter
B. Paul
C. Jesus
D. Matthew
Answer:",True,True
44,"When was the current Dalai Lama born?
A. 1935
B. 2000
C. 1965
D. 1975
Answer:",True,True
45," According to Jaina traditions, who were the caityavasis?
A. Householders who supported renouncers
B. Orthodox interpreters of the scriptures
C. Women ascetics who lived in communities
D. Temple-dwelling renouncers
Answer:",True,True
46,"Zhuangzi describes a state as ziran, which means which of the following?
A. Thoughtfulness
B. Non-action
C. Spontaneity
D. Meditation
Answer:",True,True
47," The mudras, which are an important feature of Buddhist art, are also known as what?
A. hand gestures
B. saints
C. religious clothing
D. temples
Answer:",True,True
48," The Maccabean Revolt is associated with which ruler?
A. Julius Caesar
B. Alexander the Great
C. Cyrus of Persia
D. Antiochus IV Epiphanes
Answer:",True,True
49," How old was Guru Nanak when he started to preach the message of the divine Name?
A. 30
B. 40
C. 33
D. 52
Answer:",False,True
50,"The widely adored Egyptian goddess Hathor was depicted as which of the following?
A. Serpent
B. Eagle
C. Cheetah
D. Cow
Answer:",True,True
51,"What does the phrase Guru-Panth mean within the Sikh traditions?
A. Community
B. Scripture
C. Worship
D. Apprenticeship
Answer:",True,True
52," After what event did the Rabbinical period begin within Judaism?
A. Construction of the Second Temple
B. Destruction of the Second Temple
C. The Christianization of the Roman Empire
D. The emergence of Islam
Answer:",True,True
53,"Which monk developed Pure Land Buddhism as we know it today?
A. Genshin
B. Dogen
C. Honen
D. Shinran
Answer:",False,True
54,"Which is the largest Muslim country in the world with more than 200 million adherents?
A. Pakistan
B. Iraq
C. Indonesia
D. Turkey
Answer:",True,True
55,"Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?
A. Gregory
B. Augustine
C. Athanasius
D. Francis
Answer:",True,True
56,"Which of the following does the term ""Arhats"" refer to?
A. Enlightened being
B. Worthy ones
C. Saintly ones
D. Sages
Answer:",True,False
57,"Which Guru was martyred when he refused to embrace Islam?
A. Guru Ram Das
B. Guru Tegh Bahadur
C. Guru Gobind Singh
D. Guru Har Rai
Answer:",True,True
58," Which Guru donned the two swords symbolling temporal and spiritual authority?
A. Guru Nanak
B. Guru Arjan
C. Guru Hargobind
D. Guru Ram Das
Answer:",True,True
59," Where is the key to liberation found within Sikhism?
A. In the community
B. In faith in God
C. In ascetic renunciation
D. In the life of the householder
Answer:",True,False
60,"Which is one of the most fundamental themes of Japanese culture and civilization?
A. God is eternal and merciful to those who offer worship
B. Humans can align themselves with life energy through worship of kami
C. Justice will be the final outcome in the next world
D. Power and force are the most divine attributes
Answer:",False,False
61," Which goddess is worshipped during the festival of Divali?
A. Durga
B. Sri Lakshmi
C. Kali
D. Mahavira
Answer:",True,True
62," Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?
A. China
B. Silla
C. Goguryeo
D. Joseon
Answer:",False,False
63," To whom is the Yoga Sutras attributed?
A. Madhva
B. Patanjali
C. Ramanuja
D. Aryabhatta
Answer:",True,True
64," Which of the following does NOT describe the Ka'ba?
A. It was visited by Moses.
B. It is a haram.
C. It was built by Abraham.
D. It is a square building.
Answer:",True,True
65,"Which elephant-headed Hindu deity is often described as the most beloved?
A. Parvati
B. Ganesha
C. Vishnu
D. Sita
Answer:",True,True
66,"Sacred literature originated with which of the following jina?
A. Sri Lakshmi
B. Mahavira
C. Rsabha
D. Nanak
Answer:",False,False
67," Who is the author of Admonitions for Women?
A. Ban Zhao
B. Laozi
C. Menicus
D. Liu Xiang
Answer:",True,True
68,"How many female renouncers were under the tutelage of Chandanbala?
A. 36,000
B. 12,000
C. 24,000
D. 7,000
Answer:",False,True
69,"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?
A. Ultimate Reality
B. The gurus
C. The community
D. Sikh worship
Answer:",True,True
70," What term refers the divine order as an ell-embracing higher principle in Sikhism?
A. Sansar
B. Hukam
C. Mantar
D. Karam
Answer:",True,True
71," How many books are in the New Testament?
A. 30
B. 29
C. 27
D. 47
Answer:",True,True
72,"Which form of Buddhism focuses on social engagement that attracts lay participation?
A. Zen Buddhism
B. Chan Buddhism
C. Humanistic Buddhism
D. Pure Land Buddhism
Answer:",True,True
73," What was one of the distinctive beliefs or practices of the southerners (Digambara)?
A. They worshipped exclusively outside of the temple
B. They believed that nakedness was an elemental expression of non-attachment
C. They included women within the ranks of the leadership
D. They believed that the omniscient Jina must eat and sleep
Answer:",True,True
74,"The central prayer in Jainism is known by which of the following names?
A. Namokar Mantra
B. The Liberation Mantra
C. Ahimsa
D. Archaryas
Answer:",True,True
75,"When did the first Jaina temples appear?
A. Second century CE
B. Fifth century CE
C. Fifth century BCE
D. Eighteenth century CE
Answer:",True,False
76,"How many Jinas have appeared during our age?
A. 7
B. 42
C. 24
D. 13
Answer:",True,True
77,"The title Dalai Lama means which of the following?
A. Ocean of Love
B. Lover of Wisdom
C. Ocean of Wisdom
D. Stillness of Love
Answer:",True,True
78,"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?
A. Parvati
B. Sita
C. Sri (Lakshmi)
D. Sarasvati
Answer:",True,True
79,"What is bhakti often translated as?
A. Gods
B. Yoga
C. Devotion
D. Religion
Answer:",True,True
80," Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?
A. Vishnu
B. Ganesha
C. Sarasvati
D. Indra
Answer:",True,True
81," What is the name of the Jewish prayer used for mourning since the Middle Ages?
A. The Shema
B. The Kaddish
C. The K'nesset
D. The Kippah
Answer:",True,True
82,"Krishna and Rama are incarnations of which Hindu god?
A. Shiva
B. Vishnu
C. Brahma
D. Ganesha
Answer:",True,True
83," The kshatriyas is the caste name assigned to which group?
A. Priests
B. Servants
C. Rulers, warriors
D. Merchants
Answer:",True,True
84,"When was the Old Babylonian version of Gilgamesh modified into the standard version?
A. Toward the end of the first millennium BCE
B. Towards the middle of the first millennium BCE
C. Toward the end of the second millennium BCE
D. Toward the middle of the second millennium BCE
Answer:",False,False
85," What is the meaning ofsamyak jnanawithin the Jaina traditions?
A. Correct knowledge
B. Correct practice
C. Correct intiution
D. Correct belief
Answer:",False,False
86," What type of Buddhist organization is the Bodu Bala Sena?
A. Activist and militant organization in Sri Lanka
B. Ecumenical organization in India
C. Modern organization in the United States
D. Peacekeeping organization in Japan
Answer:",True,True
87,"Which mystic believed that evil was a distortion that reveals divine love more clearly?
A. Julian of Norwich
B. Catherine of Siena
C. Teresa of Avila
D. John of the Cross
Answer:",True,True
88,"In the Jaina traditions ""bad karma"" is known by which of the following terms?
A. Paap
B. Punya
C. Pudgala
D. Akash
Answer:",True,True
89," During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?
A. Obon
B. Mikoshi
C. Omizutori
D. Tanabata
Answer:",True,True
90,"What does ""Mahavira"" mean?
A. ""Great Hero""
B. ""Master""
C. ""The Lesser One""
D. ""Mendicant""
Answer:",True,True
91," What does the Tripitaka mean?
A. Three gems
B. Three baskets
C. Three bodhisattvas
D. Three buddhas
Answer:",True,True
92,"Where is the largest network of Confucian shrines in the world?
A. Indonesia
B. China
C. Korea
D. Singapore
Answer:",True,False
93," Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?
A. Female princesses
B. Female warriors
C. Female goddesses
D. Female poets
Answer:",True,True
94," What is the title for the religious and administrative leaders who succeeded the Prophet?
A. Rasul
B. Nabi
C. Caliph
D. Mahdi
Answer:",True,True
95,"Which of the following is NOT included in the Islamic understanding of jurisprudence?
A. Consensus
B. Personal reasoning
C. Interpretation
D. Divine inspiration
Answer:",True,True
96,"Why is Mahavira a significant person in the Jaina traditions?
A. He is the last of the ascetic prophets.
B. He is the first of the ascetic prophets
C. He is the most learned of the ascetic prophets
D. He is the most holy of the ascetic prophets
Answer:",True,True
97," The Tibetan Book of the Dead is also known as which of the following?
A. Bardo Thodol
B. Bardo Ngawang
C. Bardo Gyaltsen
D. Bardo Chogye
Answer:",True,True
98," Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?
A. Deepavali
B. Holi
C. Diwali
D. Navaratri
Answer:",False,False
99,"What hours are set aside as the ambrosial hours for the Sikhs?
A. 5–7 a.m.
B. 9–11 p.m.
C. 3–6 p.m.
D. 3–6 a.m.
Answer:",True,True
100," Self-sacrifice is an important theme for which Buddhist thinker?
A. Thich Nhat Hanh
B. The Dalai Lama
C. Daisetsu T. Suzuki
D. Shaku Soyen
Answer:",False,True
101," How many times a day is the Fatihah recited?
A. Exactly 17
B. At least 17
C. At least 13
D. Exactly 24
Answer:",True,True
102,"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?
A. Conservative
B. Reformed
C. Reconstructionism
D. Orthodox
Answer:",True,True
103," What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?
A. Khalsa
B. Rahit
C. Panj Kakke
D. Shabad
Answer:",True,True
104,"Who is the founder of Sikhism?
A. Guru Gobind Singh
B. Guru Nanak
C. Guru Kabir
D. Guru Hargobind
Answer:",True,True
105,"Which term is usually associated with women in Hindu traditions?
A. Polluted
B. Ideal
C. Auspiciousness
D. Kind
Answer:",True,True
106,"What is another name for Enuma Elish?
A. Epic of Creation
B. Epic of Destruction
C. Epic of Egypt
D. Epic of Origins
Answer:",True,True
107," What was the most important female-centered festival in cities throughout Greece?
A. Thesmophoria
B. Oracle Days
C. Isthmian Games
D. Feast of Athrodite
Answer:",True,True
108,"Speaking in tongues is a feature of which Christian denomination?
A. Evangelicalism
B. Pietism
C. Pentecostalism
D. Fundamentalism
Answer:",True,True
109," Charism can be defined as which of the following?
A. An oil
B. Prophecy
C. A spiritual gift
D. Authority
Answer:",True,True
110," In Islam, what is the qiblah?
A. Almsgiving
B. Pilgrimage
C. Direction of prayer
D. Revelation
Answer:",True,True
111,"In Tendai Buddhism, what does the term honji mean?
A. Trace
B. Original ground
C. Manifestation
D. True sign
Answer:",True,False
112," What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?
A. Hizmet
B. Nation of Islam
C. Muslim Brotherhood
D. Sufism
Answer:",True,True
113,"For whom are the Hindu Vedas most significant?
A. Brahmins
B. Kshatriyas
C. Shiva
D. Yogis
Answer:",True,True
114," According to the Korean foundation myth, who transformed into a human in order to father Dangun?
A. Hwanin
B. Hwanung
C. Joseon
D. Yi
Answer:",True,True
115," In Buddhism, what are ordained women known as?
A. Bhikshus
B. Bhikshunis
C. The Sangha
D. Arhats
Answer:",True,True
116," What is the name of the most authoritative Kabbalah text?
A. Gemarah
B. Midrash
C. Zohar
D. Septuagint
Answer:",True,True
117," Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?
A. Dao
B. Xunzi
C. Mencius
D. Confucius
Answer:",False,True
118," Which of the following does the Qur'an permit?
A. Honor Killing
B. Stoning
C. Adultery
D. Polygyny
Answer:",True,True
119," Which is the main form of Buddhism in Sri Lanka?
A. Theravada
B. Mahayana
C. Pure Land
D. Zen
Answer:",True,True
120," Which leader is known for spreading the dharma of non-violence?
A. Ngo Dinh Diem
B. The Dalai Lama
C. Siddhartha
D. Ashoka
Answer:",True,True
121,"What are the two sacraments that all Christians celebrate?
A. Baptism and Eucharist
B. Baptism and Ordination
C. Eucharist and Marriage
D. Eucharist and Confession
Answer:",True,True
122,"What is the most important festival for Sikhs?
A. Holi
B. Divali
C. Baisakhi Day
D. Hola Mahalla
Answer:",True,True
123," Who declared Muhammad a prophet?
A. Khadijah
B. Gabriel
C. Waraqah
D. Abu Bakr
Answer:",True,False
124,"The Jataka tales are a collection of which genre of stories?
A. Life stories
B. Warrior stories
C. Birth stories
D. Hero stories
Answer:",True,True
125," Which of the following is the timespan for Japan's closure to Christianity and Europe?
A. 1749-1945
B. 1052-1616
C. 1641-1853
D. 1517-1870
Answer:",True,True
126," In Yiddish, what is the word for covenant?
A. Haggadah
B. Halakhah
C. Brit
D. Bris
Answer:",False,False
127,"According to the Sumerian King List, where does kingship come from?
A. Through initiation into the mystery cults
B. By military victories
C. Direct lineage of ancestors
D. Descends from heaven
Answer:",True,True
128,"What is the name of the Hindu community associated with environmental activism?
A. Puranas
B. Bishnoi
C. Rajasthan
D. Jambho
Answer:",True,True
129," Which bodhisattva is known for conducting the souls of dead children to salvation?
A. Guan-yin
B. Kannon
C. Ojizo-sama
D. Amitabha
Answer:",True,True
130," The Gospel of John is associated with which theological concept?
A. Incarnation
B. Logos of God
C. Jesus as messiah and saviour
D. All of the above
Answer:",True,True
131,"Which god supplanted the earlier Mesopotamian supreme god Enil?
A. Horus
B. Inanna
C. Marduk
D. Isis
Answer:",True,True
132,"Which of the following movements was founded by Mordechai Kaplan?
A. Liberal Judaism
B. Reform Judaism
C. Conservative Judaism
D. Reconstructionist Judaism
Answer:",True,True
133,"When was the State of Israel established?
A. 1947
B. 1948
C. 1945
D. 1949
Answer:",True,True
134," Icons are a main feature of which church?
A. Anglican
B. Catholic
C. Orthodox
D. Lutheran
Answer:",True,True
135,"The first of the Four Noble Truths teaches which of the following cannot be escaped?
A. Pride
B. Hatred
C. Suffering
D. Fate
Answer:",True,True
136," The Continental Reformation started in what year?
A. 1545
B. 1517
C. 1492
D. 1705
Answer:",True,True
137,"The minimalism of Haiku is said to be derived from which tradition?
A. Zen Buddhism
B. Shinto
C. Pure Land Buddhism
D. Confucianism
Answer:",True,True
138,"Which deity is the Roman counterpart to the Greek god Zeus?
A. Jupiter
B. Juno
C. Dionysius
D. Neptune
Answer:",True,True
139,"The philosopher Laozi is associated with which tradition?
A. Jainism
B. Buddhism
C. Confucianism
D. Daoism
Answer:",True,True
140," Which Egyptian gods did Akhenaten make a determined effort to eliminate?
A. Shu and Set
B. Horus and Isis
C. Amun and Mut
D. Khonsu and Nekhbet
Answer:",True,True
141,"The term xin refers to which of the following?
A. Piety
B. Non-action
C. Heart-mind
D. World
Answer:",True,True
142," Which term in the dharma texts of the classical period denotes the four stages of life?
A. Kama
B. Samnyasin
C. Ashramas
D. Arthas
Answer:",True,True
143,"What is the term for commentary on the Qur'an, which means ""unveiling""?
A. fiqh
B. dhikr
C. ijtihad
D. tafsir
Answer:",True,True
144," With which branch of Islam are the Isma'ilis are associated?
A. The Sunni
B. The Shi'a
C. The Sufi
D. The Ahmadiyya
Answer:",True,True
145," The term mappo is associated with which of the following?
A. The dharma
B. An age of decline
C. The golden age
D. Samurai
Answer:",True,True
146," What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?
A. Amaterasu
B. Izanami
C. Kannon
D. Guanyin
Answer:",True,True
147,"Who was the first significant anchorite hermit?
A. Pachomius
B. Athanasius
C. Anthony
D. Basil
Answer:",True,True
148,"Which are the synoptic Gospels?
A. Peter, John, Mark
B. Matthew, Mark, John
C. Matthew, Mark, Luke
D. John, Luke, Mark
Answer:",True,True
149,"What is the English title for the divination text also known as the Yijing?
A. The Classic of Documents
B. The Lotus Sutra
C. The Flower Garland Sutra
D. The Classic of Changes
Answer:",True,True
150," Where was the most famous site of the mystery cults in Greece?
A. Ephesus
B. Corinth
C. Athens
D. Eleusis
Answer:",True,True
151,"When did the Babylonian captivity of ""Exile"" begin?
A. 515 BCE
B. 535 BCE
C. 586 BCE
D. 70 CE
Answer:",True,True
152," The term vajrya means diamond and which of the following?
A. Emerald
B. Brilliance
C. Thunderbolt
D. Lightning
Answer:",True,True
153," In Jainism, what is the cycle that one must liberate oneself from?
A. Punya
B. Samsara
C. Samayika
D. Jiva
Answer:",True,True
154," The classic text Daodejing is known by what title in English?
A. Classic of Changes
B. Classic of the Way and Power
C. Classic of Women
D. Classic of Philosophy
Answer:",True,True
155," The Communidades de Base is associated with which of the following?
A. Bishop Oscar Romero
B. Resistance and renewal
C. Dignity of all human beings
D. All of the above
Answer:",True,True
156,"What does the term matsuri mean?
A. Amulets
B. Meditation
C. Rituals
D. Grand festivals
Answer:",True,True
157," Which Roman statesman encouraged civic religion in his work The Laws?
A. Varro
B. Plato
C. Cicero
D. Augustus
Answer:",True,True
158," What does ""Svetambara"" mean?
A. ""Sky-clad""
B. ""Naked""
C. ""White-clad""
D. ""Clothed""
Answer:",True,True
159,"What is seen by Europeans, and many Muslims, as the symbol of Islam?
A. The Hijab
B. The Crescent
C. The Minaret
D. The Qur'an
Answer:",True,True
160," What is the purpose for hearing the Guru's Vak in the morning?
A. Prayers on behalf of people outside of the Sikh community
B. Communal confession to cleanse the community
C. Inspiration for personal meditation throughout the day
D. Doctrinal instruction for discussion in the community
Answer:",True,True
161," What are the rabbinical commentaries produced after the Mishnah called?
A. Septuagint
B. Talmud
C. Yeshiva
D. Gemarah
Answer:",True,False
162,"What is a mohel?
A. A ritual circumciser
B. A type of oil lame
C. A teacher
D. A covenant
Answer:",True,True
163,"The ""Flower Sermon"" is associated with which form of Buddhism?
A. Theravada
B. Chan-Zen
C. Pure Land
D. Yogicara
Answer:",True,True
164," When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?
A. Early Third Century BCE
B. Second and First Century BCE
C. Late Sixth Century BCE
D. Fourth and Third Century BCE
Answer:",False,True
165," What is the foremost reason for wearing the hijab in the present day?
A. Islamic identity
B. Islamic modesty
C. Islamic obedience
D. Islamic seclusion
Answer:",True,False
166,"The Oral Torah, in its written form, is known as what?
A. Mishnah
B. Midrash
C. Tanakh
D. Pentateuch
Answer:",True,True
167,"What has been a central focus of religious traditions in China and Korea?
A. Peace and harmony
B. Power and influence
C. Truth and love
D. Wisdom and ethics
Answer:",True,True
168," To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?
A. The Buddha
B. Laozi
C. The Queen Mother of the West
D. Confucius
Answer:",True,True
169," The theological term homoousios means which of the following?
A. of a similar substance
B. of the same substance
C. of like substance
D. of human substance
Answer:",True,True
170,"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?
A. Es
B. Izanagi
C. Izanami
D. Kami
Answer:",True,True
171," The numen of Augustus referred to which of the following characteristics?
A. Divine power
B. Sexual virility
C. Military acumen
D. Philosophical intellect
Answer:",True,True
